"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"469",2,1,"Entire home/apt",7,1,0.03,0
"470",3,1,"Entire home/apt",30,0,0,0.884931506849315
"471",3,1,"Private room",14,15,0.48,0.334246575342466
"472",3,1,"Entire home/apt",30,0,0,1
"473",3,1,"Entire home/apt",30,0,0,0.315068493150685
"474",3,1,"Entire home/apt",30,0,0,1
"475",3,1,"Entire home/apt",16,1,0.03,0
"476",2,1,"Entire home/apt",2,49,1.32,0.224657534246575
"477",3,1,"Private room",1,86,2.33,0.441095890410959
"478",2,1,"Entire home/apt",1,15,0.42,0.150684931506849
"479",3,1,"Private room",5,0,0,0
"480",3,1,"Entire home/apt",3,34,1,0.542465753424658
"481",2,1,"Entire home/apt",30,3,0.11,0.698630136986301
"482",3,1,"Entire home/apt",3,6,0.17,0
"483",2,1,"Private room",2,87,2.31,0
"484",2,1,"Private room",31,1,0.88,0.775342465753425
"485",3,1,"Private room",3,58,1.62,0.353424657534247
"486",3,1,"Private room",1,4,0.11,0
"487",2,1,"Entire home/apt",2,16,0.43,0
"488",3,1,"Private room",1,0,0,0
"489",3,1,"Entire home/apt",30,1,0.04,1
"490",3,1,"Entire home/apt",30,0,0,0.991780821917808
"491",3,1,"Private room",5,19,0.51,0.241095890410959
"492",3,1,"Private room",2,14,0.38,0
"493",3,1,"Entire home/apt",30,1,0.07,0.934246575342466
"494",3,1,"Entire home/apt",30,1,0.09,0.901369863013699
"495",3,1,"Entire home/apt",30,2,0.06,0
"496",2,1,"Entire home/apt",1,6,0.16,0
